company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,profitability_score,roe_score,leverage_score,efficiency_score,financial_health_score,health_rating
TECHM,Mar 2020,10.57,14.93,17.87,0.17,34.87,0.99,12,16,20,8,56,Good
TECHM,Mar 2021,11.5,17.95,17.51,0.12,43.59,0.96,12,16,20,8,56,Good
TECHM,Mar 2022,12.61,17.96,20.94,0.1,56.04,1.01,12,20,20,12,64,Good
TECHM,Mar 2023,9.11,14.57,17.39,0.1,26.77,1.16,8,16,20,12,56,Good
TECHM,Mar 2024,4.61,8.67,8.99,0.1,13.86,1.21,4,8,20,12,44,Average
TITAN,Mar 2013,7.16,10.02,36.8,0.0,21.82,1.72,8,20,20,16,64,Good
TITAN,Mar 2014,6.73,9.58,29.13,0.32,13.38,1.79,8,20,20,16,64,Good
TITAN,Mar 2015,6.85,9.68,26.46,0.03,15.06,2.03,8,20,20,20,68,Good
TITAN,Mar 2016,5.99,8.33,19.25,0.03,24.0,1.78,8,16,20,16,60,Good
TITAN,Mar 2017,5.26,8.78,16.47,0.44,29.53,1.58,8,16,20,16,60,Good
TITAN,Mar 2018,6.84,10.2,21.65,0.33,32.34,1.69,8,20,20,16,64,Good
TITAN,Mar 2019,7.02,10.08,22.88,0.39,40.98,1.69,8,20,20,16,64,Good
TITAN,Mar 2020,7.09,11.7,22.39,0.53,15.76,1.55,8,20,16,16,60,Good
TITAN,Mar 2021,4.5,7.97,12.99,0.75,9.38,1.32,4,12,16,12,44,Average
TITAN,Mar 2022,7.63,11.61,23.63,0.78,16.15,1.36,8,20,16,12,56,Good
TITAN,Mar 2023,8.07,12.03,27.63,0.79,17.29,1.5,8,20,16,16,60,Good
TITAN,Mar 2024,6.84,10.36,37.22,1.65,9.41,1.62,8,20,12,16,56,Good
TORNTPHARM,Mar 2013,13.58,21.76,30.59,0.49,20.53,0.85,12,20,20,8,60,Good
TORNTPHARM,Mar 2014,15.92,22.89,34.89,0.59,16.76,0.83,16,20,16,8,60,Good
TORNTPHARM,Mar 2015,16.2,22.0,30.15,1.1,7.46,0.59,16,20,12,8,56,Good
TORNTPHARM,Mar 2016,25.92,40.87,49.6,0.67,15.03,0.75,20,20,16,8,64,Good
TORNTPHARM,Mar 2017,16.06,23.68,21.47,0.58,7.77,0.61,16,20,16,8,60,Good
TORNTPHARM,Mar 2018,11.39,22.67,14.67,1.4,5.35,0.42,12,12,12,4,40,Average
TORNTPHARM,Mar 2019,5.68,25.84,9.23,1.28,3.34,0.54,8,8,12,8,36,Weak
TORNTPHARM,Mar 2020,12.91,27.33,21.25,1.2,5.08,0.57,12,20,12,8,52,Average
TORNTPHARM,Mar 2021,15.64,30.98,21.45,0.83,7.19,0.57,16,20,16,8,60,Good
TORNTPHARM,Mar 2022,9.13,28.57,13.05,0.68,8.4,0.66,8,12,16,8,44,Average
